yyyy-mm-dd hh:mm:ss.mmmmmm,x [dps],y [dps],z [dps]
2021-09-12 09:17:53.121216,-1.480, 0.443,-1.129
2021-09-12 09:17:53.221380,-1.320, 0.099,-0.900
2021-09-12 09:17:53.321532,-1.457, 0.427,-1.114
2021-09-12 09:17:53.421690,-1.434, 0.465,-0.984
2021-09-12 09:17:53.521860,-1.366, 0.359,-0.816
2021-09-12 09:17:53.622040,-1.427, 0.343,-0.969
2021-09-12 09:17:53.722231,-1.572, 0.252,-1.129
2021-09-12 09:17:53.822441,-1.373, 0.084,-1.152
2021-09-12 09:17:53.922639,-1.366, 0.191,-1.144
2021-09-12 09:17:54.022845,-1.602, 0.435,-1.198
2021-09-12 09:17:54.123047,-1.305, 0.183,-0.732
2021-09-12 09:17:54.223251,-1.305, 0.069,-1.129
2021-09-12 09:17:54.323470,-1.244,-0.046,-0.969
2021-09-12 09:17:54.423743,-1.366, 0.175,-0.771
2021-09-12 09:17:54.523977,-1.274, 0.420,-1.236
2021-09-12 09:17:54.624203,-1.190, 0.191,-0.938
2021-09-12 09:17:54.724418,-1.122, 0.290,-1.022
2021-09-12 09:17:54.824653,-1.556, 0.145,-0.999
2021-09-12 09:17:54.924863,-1.343, 0.160,-0.870
2021-09-12 09:17:55.025049,-1.488, 0.175,-0.832
2021-09-12 09:17:55.125209,-1.518, 0.298,-1.045
2021-09-12 09:17:55.225365,-1.297, 0.542,-0.549
2021-09-12 09:17:55.325528,-1.518, 0.099,-1.099
2021-09-12 09:17:55.425687,-1.518, 0.267,-0.870
2021-09-12 09:17:55.525851,-1.465, 0.191,-1.282
2021-09-12 09:17:55.626001,-1.419, 0.198,-0.954
2021-09-12 09:17:55.726166,-1.251, 0.137,-1.060
2021-09-12 09:17:55.826379,-1.366, 0.252,-1.137
2021-09-12 09:17:55.926596,-1.541, 0.168,-1.122
2021-09-12 09:17:56.026806,-1.472, 0.046,-0.839
2021-09-12 09:17:56.127064,-1.488, 0.282,-0.931
2021-09-12 09:17:56.227310,-1.282, 0.237,-1.030
2021-09-12 09:17:56.327537,-1.106, 0.084,-0.938
2021-09-12 09:17:56.427737,-1.320, 0.153,-1.007
2021-09-12 09:17:56.527914,-1.236, 0.458,-1.244
2021-09-12 09:17:56.628073,-1.457, 0.160,-0.847
2021-09-12 09:17:56.728228,-1.305, 0.298,-1.236
2021-09-12 09:17:56.828376,-1.404, 0.366,-0.992
2021-09-12 09:17:56.928522,-1.328, 0.412,-1.091
2021-09-12 09:17:57.028677,-1.167, 0.061,-1.053
2021-09-12 09:17:57.128854,-1.312, 0.183,-0.900
2021-09-12 09:17:57.229038,-1.381, 0.244,-1.137
2021-09-12 09:17:57.329306,-1.503, 0.259,-1.076
2021-09-12 09:17:57.429522,-1.541,-0.099,-1.007
2021-09-12 09:17:57.529811,-1.328, 0.282,-0.916
2021-09-12 09:17:57.630022,-1.244, 0.252,-0.862
2021-09-12 09:17:57.730380,-1.541, 0.305,-0.938
