delta_t,x [dps],y [dps],z [dps]
0.770606517791748, 0.323, 0.214, 3.031
0.7731852531433105, 0.574, 0.374, 3.031
0.7757763862609863, 0.162, 0.191, 3.542
0.77836012840271, 0.017,-0.076, 3.985
0.7809405326843262, 0.246,-0.389, 3.687
0.7835195064544678, 0.193,-0.053, 3.351
0.7861001491546631,-0.135, 0.023, 3.016
0.788679838180542,-0.486,-0.389, 2.680
0.7913479804992676,-0.570,-0.022, 1.841
0.7939846515655518,-0.196,-2.189, 1.452
0.7966735363006592,-0.379,-0.083, 1.299
0.7996220588684082,-0.105,-0.190, 1.322
0.8022902011871338,-0.234,-2.204, 1.330
0.8049545288085938,-0.242,-0.045, 1.078
0.807621955871582,-0.227,-0.190, 1.215
0.8102872371673584, 0.391, 0.077, 5.114
0.8129498958587646, 0.628, 0.718, 4.893
0.815617561340332, 0.597, 0.504, 5.297
0.8182957172393799,-0.372, 0.359, 6.327
0.8209609985351562,-0.166, 0.390, 7.754
0.8236250877380371, 0.574, 0.474, 7.822
0.8262922763824463, 0.208, 0.657, 8.288
0.828955888748169, 0.155, 0.481,10.248
0.8316197395324707, 0.109, 1.107,11.591
0.8342831134796143, 0.246, 0.893,12.804
0.836965799331665,-0.418, 0.916,14.216
0.8396551609039307, 0.017, 1.183,16.146
0.8423426151275635,-0.425, 1.397,18.465
0.8450295925140381,-0.295, 1.259,19.686
0.8477210998535156, 0.498, 1.526,19.358
0.850409746170044,-0.471, 0.847,19.587
0.8530969619750977,-0.196, 1.397,19.617
0.8557887077331543,-0.486, 0.939,20.624
0.8586444854736328,-0.364, 1.069,20.983
0.861346960067749, 1.322, 0.962,23.051
0.8640413284301758,-0.921, 0.748,25.980
0.8667380809783936,-0.692, 0.420,26.621
0.8694424629211426,-1.318, 0.382,30.535
0.8721377849578857, 0.040, 0.954,32.160
0.874830961227417,-0.387, 0.840,31.801
0.8775284290313721, 1.261, 1.153,30.321
0.8802180290222168,-1.150, 1.000,29.902
0.8829095363616943,-0.311, 0.863,26.194
0.8856010437011719,-0.967, 0.992,21.258
0.8882946968078613,-0.761, 0.702,18.885
0.8909857273101807,-0.097, 1.198,16.833
0.8938052654266357,-0.936, 0.802,15.421
0.8965363502502441,-2.325, 0.634,14.101
0.899259090423584,-0.486, 0.748,12.827
0.9019825458526611,-0.990, 0.336,13.041
0.9047050476074219,-0.944, 0.481,13.499
0.9074275493621826,-0.883, 0.840,15.513
0.9101505279541016,-1.097, 0.886,17.748
0.9128718376159668,-0.952, 0.672,18.801
0.915597677230835,-1.295, 0.718,24.073
0.9183204174041748,-1.158, 0.809,27.544
0.9210422039031982,-1.432, 0.817,30.878
0.9237661361694336,-1.287, 0.824,32.519
0.92649245262146,-1.791, 0.550,33.694
0.929215669631958,-1.531, 0.512,34.052
0.9319379329681396,-1.814, 1.206,35.364
0.9346599578857422,-1.356, 0.824,35.525
0.937389612197876,-2.416, 0.695,35.754
0.9401254653930664, 0.559, 0.817,30.932
0.9428491592407227, 0.277, 0.580,27.315
0.9455740451812744, 0.330, 0.641,22.822
0.9482982158660889, 1.032, 0.611,19.640
0.9510228633880615, 0.254, 0.634,18.114
0.9537444114685059, 1.307, 0.489,14.651
0.9564716815948486, 3.184, 1.145,14.185
0.9591937065124512, 1.345, 0.565,13.369
0.9619154930114746, 1.818, 0.489,12.972
0.9646368026733398, 1.406, 0.954,12.240
0.9673628807067871, 1.147,-0.015, 9.516
0.9701023101806641, 1.398, 0.161, 7.616
0.9728307723999023, 1.101, 0.458, 6.228
0.9755592346191406, 0.872, 0.306, 6.678
0.9782850742340088, 0.849, 0.168, 3.214
0.9810080528259277, 0.803, 0.191, 2.230
0.9837322235107422, 0.765, 0.184, 1.581
0.9864592552185059, 0.681, 0.184, 1.711
0.9891831874847412, 0.788, 0.039, 1.604
0.9919345378875732, 0.612, 0.123, 2.108
0.9946563243865967, 0.582,-0.030, 2.123
0.9973843097686768, 0.879,-0.030, 2.573
1.0001165866851807, 0.574, 0.245, 3.062
1.002863883972168, 0.780, 0.306, 3.977
1.0056171417236328, 0.986, 0.359, 6.022
1.0083529949188232, 0.902, 0.504, 7.708
1.0111193656921387, 0.498, 0.268, 9.196
1.0138754844665527, 0.254, 0.962,14.689
1.0166184902191162, 0.185, 1.069,22.402
1.0193524360656738, 0.208, 1.244,25.614
1.022097110748291,-0.097, 1.236,26.438
1.0249412059783936,-0.753, 0.893,30.512
1.0277562141418457,-0.273, 1.366,30.459
1.0305469036102295,-1.074, 1.374,29.627
1.0333104133605957,-1.524, 0.756,28.971
1.0361108779907227,-0.692, 1.305,27.720
1.0388596057891846,-1.310, 0.969,25.828
1.0415925979614258,-0.395, 0.557,23.859
1.0443823337554932,-0.013, 1.343,24.363
1.0471327304840088,-0.570, 0.588,20.754
1.0498836040496826,-2.485, 0.763,19.671
1.0526330471038818, 0.323, 0.893,18.030
1.0554301738739014,-0.379, 0.565,16.703
1.0583217144012451, 0.002, 0.779,15.627
1.061108112335205, 0.170, 0.565,13.781
1.063873052597046,-0.555, 0.504,14.521
1.066652536392212, 0.048, 0.268,12.339
1.0694911479949951, 0.628, 0.405, 8.051
1.0722830295562744, 0.536, 0.001, 5.266
1.07505464553833, 0.910, 0.153, 3.374
1.0778005123138428, 0.506, 0.245, 3.207
1.0805957317352295, 0.231, 0.252, 1.040
1.0833392143249512, 0.323, 0.321, 3.641
1.086075782775879, 0.658, 0.107, 4.748
1.0888125896453857, 0.742, 0.573, 6.624
1.0916059017181396, 0.147, 0.351, 7.098
1.094506025314331, 0.147, 0.977,10.851
1.09718656539917,-0.418, 0.916,17.504
1.0998473167419434, 0.063, 0.756,22.143
1.1025023460388184,-0.059, 0.962,27.544
1.105159044265747, 0.231, 1.046,28.414
1.1078391075134277, 0.353, 1.206,32.183
1.1105077266693115, 0.498, 0.924,33.152
1.1131963729858398, 0.338, 1.633,33.999
1.1158735752105713, 0.460, 2.183,34.548
1.1185297966003418, 0.612, 1.877,34.457
1.1211798191070557, 1.070, 1.816,32.831
1.1238512992858887, 0.437, 1.984,33.198
1.126512050628662,-0.372, 2.060,35.357
1.1291463375091553, 0.315, 2.038,36.013
1.1317980289459229, 1.528, 2.091,35.136
1.1345062255859375,-0.219, 2.190,34.655
1.1371772289276123,-1.478, 1.977,34.174
1.1400260925292969, 0.109, 2.152,36.219
1.1443068981170654,-0.028, 2.389,37.462
1.1470017433166504,-0.173, 1.969,38.233
1.1496987342834473,-0.089, 1.557,37.417
1.1539533138275146,-0.166, 1.175,33.777
1.1566567420959473,-0.540, 1.420,31.794
1.1593518257141113, 0.170, 0.954,29.269
1.1620428562164307,-0.517, 0.710,27.102
1.1654832363128662, 0.063, 0.893,23.630
1.1682307720184326,-0.074, 1.153,21.776
1.170879602432251, 0.292, 0.733,19.022
1.1735255718231201, 0.780, 1.160,18.206
1.176173210144043, 0.139, 1.046,14.704
1.1788182258605957, 0.887, 0.641,12.270
1.1814651489257812, 0.696, 0.962,11.759
1.1841099262237549, 0.597, 0.725,12.659
1.1867527961730957, 1.803, 1.191,13.972
1.1893961429595947, 1.681, 1.809,16.558
1.192040205001831, 0.818,-0.205,20.258
1.1947991847991943, 0.841, 2.068,24.164
1.1974802017211914, 1.276, 2.091,24.645
1.2001903057098389, 0.330, 2.617,29.124
1.2028567790985107, 0.208, 2.450,28.406
1.205521583557129, 0.109, 2.251,31.740
1.2081859111785889, 0.262, 2.251,32.114
1.2108500003814697,-0.555, 1.793,32.526
1.2135140895843506, 0.094, 1.656,30.298
1.216179370880127, 0.422, 1.504,32.015
1.2188432216644287, 0.216, 3.632,30.627
1.2215073108673096,-0.631, 1.778,35.631
1.2241711616516113, 1.116, 1.572,37.417
1.2268359661102295, 0.803, 2.297,38.637
1.2294983863830566, 0.551, 2.266,40.407
1.2321746349334717, 0.391, 2.289,42.544
1.2348377704620361, 0.185, 2.327,44.489
1.2375168800354004, 1.185, 2.274,44.001
1.2401835918426514, 1.108, 2.236,43.436
1.2428491115570068, 0.635, 2.038,42.818
1.245516300201416,-0.524, 1.961,41.987
1.248178243637085,-0.936, 1.549,42.330
1.2508440017700195,-1.287, 1.595,42.109
1.2535078525543213,-2.317, 1.328,41.193
1.2561736106872559,-1.417, 1.671,41.643
1.2588372230529785,-1.615, 3.563,39.889
1.2615017890930176,-1.554, 0.680,35.258
1.2641651630401611, 0.025, 1.252,32.999
1.2668356895446777,-0.135, 1.610,31.794
1.2695109844207764,-0.212, 1.191,31.092
1.2721776962280273, 0.246, 1.015,29.795
1.2748425006866455, 0.704, 0.687,28.986
1.2775111198425293, 0.719, 0.817,29.444
1.280174732208252, 0.979, 1.183,31.306
1.282837152481079, 1.536, 1.153,33.549
1.2855019569396973, 1.795, 1.412,35.486
1.2881622314453125, 2.009,-0.190,37.646
1.2908263206481934, 2.848, 3.647,39.294
1.293489694595337, 2.520, 2.221,40.102
1.2962849140167236, 1.795, 2.266,42.063
1.2990105152130127, 0.971, 1.877,45.878
1.3017334938049316, 0.147, 1.786,46.206
1.3044562339782715, 0.101, 1.885,47.938
1.307183027267456,-0.555, 2.327,49.830
1.3099071979522705,-1.097, 1.236,52.294
1.3126308917999268, 0.727, 1.427,53.660
1.3153531551361084, 0.506, 2.389,50.616
1.3180818557739258, 0.452, 1.404,48.563
1.3208043575286865, 1.063, 1.099,45.344
1.3235259056091309, 0.490, 1.664,43.925
1.3262548446655273, 0.033, 0.771,38.943
1.3289766311645508,-0.402, 0.756,36.158
1.3316998481750488,-1.020, 0.954,34.251
1.3344228267669678,-0.410, 1.160,33.983
1.337151050567627,-0.707, 1.130,30.527
1.3398749828338623,-0.425, 0.603,29.665
1.3425965309143066, 0.391, 1.008,29.566
1.3453195095062256, 0.315, 1.664,29.856
1.3480465412139893, 0.094, 1.160,30.581
1.3507695198059082, 0.323,-0.190,32.175
1.3534924983978271, 0.651, 2.335,33.854
1.3562192916870117, 1.154, 2.205,35.074
1.3589403629302979, 1.467, 2.732,36.135
1.3616602420806885, 1.787, 3.167,40.354
1.364380121231079, 1.505, 3.296,44.741
1.3671069145202637, 1.116, 4.471,51.516
1.3698465824127197, 1.093, 4.799,54.446
1.3725743293762207, 0.689, 4.090,56.750
1.3752977848052979,-0.143, 3.632,58.825
1.3780267238616943,-1.081, 4.052,61.289
1.3807485103607178,-1.341, 4.929,65.104
1.3834710121154785,-0.822, 4.502,66.393
1.3861994743347168,-2.775, 5.524,65.760
1.3889217376708984,-1.928, 2.961,67.225
1.3916449546813965,-1.692, 3.007,63.921
1.394366979598999,-1.837, 1.870,63.433
1.3970963954925537,-0.631, 1.862,58.062
1.3998231887817383, 0.590, 3.357,57.169
1.4025473594665527, 0.574, 2.900,53.553
1.4052684307098389, 1.269, 2.770,49.280
1.407989501953125, 1.398, 2.389,48.250
1.4107282161712646, 1.291, 3.571,47.404
1.4134552478790283, 1.345, 1.412,47.411
1.4161767959594727, 3.313, 1.534,47.327
1.4188990592956543, 1.696, 1.572,47.663
1.4216198921203613, 2.161, 2.251,48.426
1.4243416786193848, 1.383, 2.404,50.356
1.4270658493041992, 1.246, 1.778,49.898
1.4297871589660645, 1.559, 1.671,52.332
1.4325110912322998, 0.994, 1.778,51.798
1.4352333545684814, 0.117, 1.305,54.735
1.437957525253296,-0.021, 0.779,54.751
1.4406814575195312,-2.020, 1.626,53.843
1.4434053897857666,-2.416, 1.244,53.530
1.4461355209350586,-2.241, 1.351,53.225
1.4488580226898193,-0.616, 2.595,52.859
1.4515814781188965, 1.093, 3.258,52.416
1.4543042182922363, 1.818, 2.945,51.272
1.4570322036743164, 1.047, 2.221,49.921
1.4597563743591309, 0.246, 2.533,49.250
1.4624788761138916, 0.742, 2.762,51.554
1.4652032852172852, 0.719, 3.388,53.774
1.4679474830627441, 0.834, 2.846,59.153
1.470672845840454, 1.047, 2.968,63.235
1.4733953475952148, 1.505, 3.945,68.972
1.4761221408843994, 0.902, 4.517,75.014
1.4788432121276855, 2.299, 5.112,80.355
1.4815635681152344, 2.390, 6.203,85.467
1.484281301498413, 2.192, 7.012,87.061
1.4870092868804932,-0.006, 6.211,92.272
1.4897308349609375,-1.333, 4.448,94.782
1.4924530982971191,-0.906, 3.190,99.718
1.4952037334442139, 1.215, 4.075,99.474
1.4979305267333984, 2.039, 4.571,95.148
1.50065279006958, 1.200, 3.174,94.500
1.5033750534057617,-1.432, 1.320,88.038
1.506103515625, 0.086, 3.144,81.988
1.508824348449707, 1.673, 5.181,72.047
1.511547565460205, 0.902, 3.975,66.233
1.5142698287963867, 2.573, 2.091,59.832
1.516996145248413, 4.053, 3.167,52.058
1.5197184085845947, 2.299, 2.884,46.732
1.5224404335021973, 1.230, 1.412,45.580
1.5251617431640625, 2.024, 1.648,43.894
1.5278892517089844, 2.253, 3.594,40.766
1.5306098461151123, 1.665, 1.740,41.353
1.5333318710327148, 2.695,-0.213,42.979
1.5360589027404785, 1.993, 2.900,42.010
1.5387778282165527, 1.925, 3.640,46.862
1.541499376296997, 3.199, 3.884,51.073
1.5442209243774414, 0.719, 3.518,54.278
1.546945333480835, 0.414, 2.503,60.633
1.549668788909912,-0.105, 2.747,64.516
1.5523910522460938,-1.211, 3.281,67.087
1.5551140308380127,-1.196, 2.762,68.796
1.5578417778015137,-1.180, 3.235,70.353
1.5605647563934326,-1.852, 3.319,71.718
1.563288927078247,-1.859, 2.999,72.741
1.5660157203674316,-1.074, 2.724,72.939
1.568753957748413,-0.807, 3.098,72.283
1.5714786052703857, 1.108, 4.113,70.368
1.5742030143737793, 1.200, 3.792,69.369
1.5769362449645996, 0.223, 2.884,70.315
1.5796589851379395,-1.493, 3.548,70.696
1.5823853015899658,-1.829, 1.442,69.567
1.5851118564605713,-1.692, 3.525,69.132
1.5878403186798096, 1.803, 5.570,65.508
1.5905616283416748, 2.741, 4.395,65.371
