yyyy-mm-dd hh:mm:ss.mmmmmm,x [dps],y [dps],z [dps]
2021-09-12 09:19:18.749147,-0.012, 0.164, 0.162
2021-09-12 09:19:18.849353, 0.003,-0.065, 0.269
2021-09-12 09:19:18.949583,-0.195,-0.049,-0.044
2021-09-12 09:19:19.049776,-0.103, 0.019,-0.204
2021-09-12 09:19:19.150008,-0.119, 0.088, 0.109
2021-09-12 09:19:19.250228, 0.095, 0.302, 0.009
2021-09-12 09:19:19.350437, 0.232,-0.004,-0.052
2021-09-12 09:19:19.450643, 0.011,-0.080,-0.143
2021-09-12 09:19:19.550868, 0.019,-0.095,-0.059
2021-09-12 09:19:19.651087,-0.065,-0.141,-0.044
2021-09-12 09:19:19.751300,-0.019,-0.278, 0.032
2021-09-12 09:19:19.851506,-0.241,-0.057,-0.097
2021-09-12 09:19:19.951714, 0.087,-0.080,-0.189
2021-09-12 09:19:20.051992, 0.003, 0.454, 0.002
2021-09-12 09:19:20.152214, 0.080,-0.103,-0.113
2021-09-12 09:19:20.252413,-0.195, 0.012, 0.055
2021-09-12 09:19:20.352631,-0.019, 0.157,-0.212
2021-09-12 09:19:20.452839,-0.080, 0.080, 0.162
2021-09-12 09:19:20.553039,-0.195, 0.149,-0.014
2021-09-12 09:19:20.653270, 0.194,-0.042, 0.124
2021-09-12 09:19:20.753485, 0.270, 0.012,-0.082
2021-09-12 09:19:20.853762, 0.110, 0.012, 0.345
2021-09-12 09:19:20.954024,-0.111, 0.286, 0.116
2021-09-12 09:19:21.054229, 0.042, 0.157, 0.154
2021-09-12 09:19:21.154438, 0.026, 0.027, 0.063
2021-09-12 09:19:21.254659,-0.111, 0.202,-0.166
2021-09-12 09:19:21.354991,-0.073,-0.095, 0.139
2021-09-12 09:19:21.455228, 0.232,-0.095,-0.006
2021-09-12 09:19:21.555430,-0.080, 0.050,-0.296
2021-09-12 09:19:21.655632,-0.111, 1.698, 0.017
2021-09-12 09:19:21.755834,-0.096, 0.080,-0.044
2021-09-12 09:19:21.856044,-0.256,-0.019, 0.124
2021-09-12 09:19:21.956379, 0.072, 0.073,-0.044
2021-09-12 09:19:22.056652,-0.042,-0.072, 0.101
2021-09-12 09:19:22.156853, 0.003,-0.026, 0.185
2021-09-12 09:19:22.257076,-0.325, 0.111,-0.311
2021-09-12 09:19:22.357287,-0.027, 0.210,-0.174
2021-09-12 09:19:22.457490, 0.003,-0.133, 0.116
2021-09-12 09:19:22.557810, 0.026, 0.103, 0.124
2021-09-12 09:19:22.657985,-0.065, 0.149,-0.090
2021-09-12 09:19:22.758221, 0.202,-0.080, 0.040
2021-09-12 09:19:22.858437, 0.095, 0.080,-0.067
2021-09-12 09:19:22.958636,-0.187,-0.088, 0.254
2021-09-12 09:19:23.058833,-0.073, 0.263, 0.208
2021-09-12 09:19:23.159192,-0.050, 0.004,-0.006
2021-09-12 09:19:23.259483,-0.073,-0.324,-0.075
2021-09-12 09:19:23.359684, 0.133, 0.065, 0.192
2021-09-12 09:19:23.459883, 0.011, 0.118, 0.254
2021-09-12 09:19:23.560081, 0.103, 0.057,-0.036
2021-09-12 09:19:23.660273, 0.019, 1.629, 0.139
2021-09-12 09:19:23.760531, 0.156,-0.004,-0.090
2021-09-12 09:19:23.860735, 0.042, 0.103, 0.139
2021-09-12 09:19:23.960933, 0.156, 0.103,-0.113
2021-09-12 09:19:24.061133,-0.088,-0.049,-0.258
2021-09-12 09:19:24.161356,-0.119, 0.042, 0.078
2021-09-12 09:19:24.261543,-0.080,-2.170,-0.059
2021-09-12 09:19:24.361778,-0.225,-0.141, 0.116
2021-09-12 09:19:24.461993,-0.088,-0.126, 0.177
2021-09-12 09:19:24.562194,-0.058, 0.042,-0.296
2021-09-12 09:19:24.662393, 0.156, 1.667, 0.040
2021-09-12 09:19:24.762592,-0.187, 0.134,-0.128
2021-09-12 09:19:24.862792, 0.064,-0.133,-0.014
2021-09-12 09:19:24.963007, 0.080, 0.141,-0.082
2021-09-12 09:19:25.063194,-0.019, 0.065,-0.212
2021-09-12 09:19:25.163378, 0.179,-0.187,-0.273
2021-09-12 09:19:25.263566,-0.035,-0.126,-0.258
2021-09-12 09:19:25.363742, 0.133, 0.057, 0.177
2021-09-12 09:19:25.463949, 0.034,-0.110, 0.223
2021-09-12 09:19:25.564161,-0.149,-0.004, 0.025
2021-09-12 09:19:25.664344,-0.050,-0.240,-0.105
2021-09-12 09:19:25.764540, 0.179,-0.095,-0.052
2021-09-12 09:19:25.864741, 0.095, 0.080, 0.078
2021-09-12 09:19:25.964928,-0.019, 0.164,-0.021
2021-09-12 09:19:26.065127,-0.172,-2.186, 0.131
2021-09-12 09:19:26.165346,-0.294, 0.057,-0.059
2021-09-12 09:19:26.265538, 0.034, 0.035,-0.052
2021-09-12 09:19:26.365720,-0.172,-0.171, 0.124
2021-09-12 09:19:26.465926, 0.126, 0.401,-0.029
2021-09-12 09:19:26.566129,-0.050,-0.126, 0.002
2021-09-12 09:19:26.666366, 0.003, 0.057,-0.212
2021-09-12 09:19:26.766609, 0.255, 0.126,-0.288
2021-09-12 09:19:26.866824, 0.080,-0.095, 0.086
2021-09-12 09:19:26.967027, 0.011,-0.118, 0.269
2021-09-12 09:19:27.067232, 0.072,-0.133, 0.009
2021-09-12 09:19:27.167446, 0.019, 0.027, 0.086
2021-09-12 09:19:27.267687, 0.011,-0.118,-0.044
2021-09-12 09:19:27.367929,-0.004, 0.050, 0.200
2021-09-12 09:19:27.468142, 0.072,-0.088, 0.025
2021-09-12 09:19:27.568346, 0.011,-0.225,-0.052
2021-09-12 09:19:27.668546, 0.003,-0.042,-0.082
2021-09-12 09:19:27.768777,-0.027, 0.302,-0.143
2021-09-12 09:19:27.869032, 0.026, 0.210, 0.238
2021-09-12 09:19:27.969273, 0.087,-0.057,-0.334
2021-09-12 09:19:28.069460, 0.034,-0.149, 0.055
2021-09-12 09:19:28.169692,-0.012,-0.088, 0.322
2021-09-12 09:19:28.269915,-0.142,-0.156,-0.090
2021-09-12 09:19:28.370120, 0.011,-0.103, 0.131
2021-09-12 09:19:28.470351,-0.088, 0.279,-0.128
2021-09-12 09:19:28.570636, 0.019,-0.118,-0.082
2021-09-12 09:19:28.670849, 0.034, 0.042,-0.067
2021-09-12 09:19:28.771052,-0.309, 0.073,-0.181
2021-09-12 09:19:28.871252,-0.210,-0.141,-0.105
2021-09-12 09:19:28.971452, 0.171, 0.118, 0.330
2021-09-12 09:19:29.071793, 0.026, 0.065, 0.292
2021-09-12 09:19:29.172041, 0.026, 0.149,-0.128
2021-09-12 09:19:29.272264,-0.096, 0.057,-0.189
2021-09-12 09:19:29.372475,-0.294,-0.225,-0.029
2021-09-12 09:19:29.472647,-0.058,-0.034, 0.093
2021-09-12 09:19:29.572818,-0.187, 0.210,-0.120
2021-09-12 09:19:29.673059, 0.003,-0.057, 0.017
2021-09-12 09:19:29.773268,-0.050,-0.232,-0.097
2021-09-12 09:19:29.873546,-0.103, 0.012,-0.235
2021-09-12 09:19:29.973721,-0.050, 0.012,-0.014
2021-09-12 09:19:30.073895, 0.019,-0.095, 0.025
2021-09-12 09:19:30.174083, 0.080,-0.004,-0.174
2021-09-12 09:19:30.274294,-0.042,-0.049, 0.101
2021-09-12 09:19:30.374503, 0.087,-0.171, 0.086
2021-09-12 09:19:30.474701,-0.164,-0.019,-0.082
2021-09-12 09:19:30.574950, 0.034,-0.217,-0.204
2021-09-12 09:19:30.675124,-0.164, 0.073,-0.059
2021-09-12 09:19:30.775328, 0.011, 0.111, 0.192
2021-09-12 09:19:30.875551,-0.027, 0.027,-0.097
2021-09-12 09:19:30.975759,-0.065,-0.072, 0.017
2021-09-12 09:19:31.075953,-0.134, 0.202, 0.055
2021-09-12 09:19:31.176219,-0.264, 0.187,-0.113
2021-09-12 09:19:31.276440, 0.080,-0.057, 0.177
2021-09-12 09:19:31.376645,-0.050, 0.050, 0.002
2021-09-12 09:19:31.476861, 0.331,-0.118,-0.029
2021-09-12 09:19:31.577082,-0.058,-0.049,-0.014
2021-09-12 09:19:31.677292, 0.126, 0.256, 0.345
2021-09-12 09:19:31.777491, 0.042, 0.187, 0.124
2021-09-12 09:19:31.877689,-0.271,-0.187, 0.177
2021-09-12 09:19:31.977883, 0.118, 0.172, 0.025
2021-09-12 09:19:32.078097,-0.027,-0.026, 0.139
2021-09-12 09:19:32.178335,-0.279,-0.164, 0.093
2021-09-12 09:19:32.278570, 0.072,-0.042, 0.170
2021-09-12 09:19:32.378780, 0.019,-0.034, 0.025
2021-09-12 09:19:32.478982,-0.203,-0.316, 0.055
2021-09-12 09:19:32.579178,-0.149, 0.233,-0.090
2021-09-12 09:19:32.679396,-0.080, 0.004,-0.189
2021-09-12 09:19:32.779649, 0.042,-0.240,-0.021
2021-09-12 09:19:32.879872,-0.157,-0.110, 0.055
2021-09-12 09:19:32.980073, 0.011,-0.194, 0.147
2021-09-12 09:19:33.080271, 0.049, 0.080, 0.162
2021-09-12 09:19:33.180505, 0.179,-0.072, 0.063
2021-09-12 09:19:33.280738,-0.103, 0.134,-0.197
2021-09-12 09:19:33.380956,-0.157,-0.011, 0.025
2021-09-12 09:19:33.481164, 0.042,-0.095,-0.158
2021-09-12 09:19:33.581400,-0.050, 0.248, 0.002
2021-09-12 09:19:33.681599,-0.286,-0.072, 0.025
2021-09-12 09:19:33.781793,-0.119,-0.004, 0.238
2021-09-12 09:19:33.881991, 0.095, 0.180,-0.105
2021-09-12 09:19:33.982226,-0.058, 0.096, 0.170
2021-09-12 09:19:34.082435, 0.011,-0.026, 0.040
2021-09-12 09:19:34.182658, 0.171,-0.149, 0.147
2021-09-12 09:19:34.282872,-0.050,-0.118, 0.170
2021-09-12 09:19:34.383079,-0.134,-0.049, 0.215
2021-09-12 09:19:34.483293,-0.271, 0.057,-0.082
2021-09-12 09:19:34.583515,-0.134,-0.103,-0.212
2021-09-12 09:19:34.683726,-0.088,-0.042,-0.151
2021-09-12 09:19:34.783931, 0.103,-0.187, 0.139
2021-09-12 09:19:34.884129,-0.195,-2.186, 0.131
2021-09-12 09:19:34.984328,-0.111,-0.141, 0.124
2021-09-12 09:19:35.084541,-0.050, 0.126,-0.044
2021-09-12 09:19:35.184771,-0.119,-0.011,-0.128
2021-09-12 09:19:35.284987,-0.012,-0.309, 0.048
2021-09-12 09:19:35.385191,-0.172,-0.080,-0.014
2021-09-12 09:19:35.485388,-0.203,-0.034, 0.078
2021-09-12 09:19:35.585586,-0.088,-0.156,-0.204
2021-09-12 09:19:35.685816,-0.248,-0.026, 0.269
2021-09-12 09:19:35.786048,-0.149,-0.179, 0.002
2021-09-12 09:19:35.886286, 0.110,-0.019,-0.044
2021-09-12 09:19:35.986504,-0.065,-0.118, 0.124
2021-09-12 09:19:36.086693, 0.026, 0.019, 0.185
2021-09-12 09:19:36.186969,-0.126, 0.180,-0.174
2021-09-12 09:19:36.287190,-0.111,-0.080,-0.403
2021-09-12 09:19:36.387425,-0.126,-0.133, 0.131
2021-09-12 09:19:36.487642, 0.003, 0.256, 0.315
2021-09-12 09:19:36.587861,-0.004, 0.118, 0.055
2021-09-12 09:19:36.688071,-0.019,-0.072,-0.052
2021-09-12 09:19:36.788278,-0.088, 0.027, 0.002
2021-09-12 09:19:36.888494,-0.058, 0.111,-0.105
2021-09-12 09:19:36.988726,-0.248, 0.103,-0.136
2021-09-12 09:19:37.088952, 0.095, 0.042, 0.177
2021-09-12 09:19:37.189173, 0.126, 0.019, 0.040
2021-09-12 09:19:37.289398,-0.004,-0.110, 0.185
2021-09-12 09:19:37.389615, 0.011,-0.149,-0.197
2021-09-12 09:19:37.489823,-0.096,-0.011,-0.181
2021-09-12 09:19:37.590047,-0.103, 0.012, 0.093
2021-09-12 09:19:37.690222,-0.187, 0.096,-0.166
2021-09-12 09:19:37.790371, 0.042,-0.019,-0.166
2021-09-12 09:19:37.890517, 0.072, 0.172, 0.070
2021-09-12 09:19:37.990653, 0.049,-0.072,-0.311
2021-09-12 09:19:38.090809,-0.080, 0.271,-0.044
2021-09-12 09:19:38.190965,-0.012, 0.263,-0.021
2021-09-12 09:19:38.291114, 0.087, 0.004,-0.006
2021-09-12 09:19:38.391285,-0.340, 0.065,-0.029
2021-09-12 09:19:38.491470,-0.058, 0.065, 0.116
2021-09-12 09:19:38.591648,-0.203,-0.141, 0.093
2021-09-12 09:19:38.691848,-0.088,-0.049, 0.055
2021-09-12 09:19:38.792043, 0.049, 0.065,-0.082
2021-09-12 09:19:38.892227,-0.035, 0.012,-0.181
2021-09-12 09:19:38.992406, 0.026,-0.065,-0.059
2021-09-12 09:19:39.092586, 0.133,-0.088, 0.116
2021-09-12 09:19:39.192798, 0.003,-0.095,-0.097
2021-09-12 09:19:39.293006, 0.171, 0.012, 0.360
2021-09-12 09:19:39.393234,-0.142,-0.255,-0.059
2021-09-12 09:19:39.493448, 0.057, 0.004,-0.204
2021-09-12 09:19:39.593659,-0.042, 0.126, 0.017
2021-09-12 09:19:39.693871,-0.012, 0.035,-0.258
2021-09-12 09:19:39.794079,-0.019, 0.065,-0.189
2021-09-12 09:19:39.894285,-0.080,-0.141,-0.136
2021-09-12 09:19:39.994512,-0.103, 0.057, 0.040
2021-09-12 09:19:40.094725, 0.156, 0.012,-0.090
2021-09-12 09:19:40.194938,-0.172, 0.195,-0.136
2021-09-12 09:19:40.295155, 0.148, 0.111, 0.208
2021-09-12 09:19:40.395369,-0.103, 0.035, 0.261
2021-09-12 09:19:40.495578,-0.050, 0.012,-0.090
2021-09-12 09:19:40.595814, 0.019,-0.019,-0.082
2021-09-12 09:19:40.696159, 0.064,-0.171, 0.208
2021-09-12 09:19:40.796408,-0.035, 0.042,-0.128
2021-09-12 09:19:40.896701,-0.073,-0.011, 0.070
2021-09-12 09:19:40.996913, 0.118, 1.682,-0.052
2021-09-12 09:19:41.097119, 0.126, 0.019,-0.212
2021-09-12 09:19:41.197358, 0.126,-0.095,-0.136
2021-09-12 09:19:41.297583, 0.126, 0.073,-0.174
2021-09-12 09:19:41.397801,-0.187,-0.217,-0.006
2021-09-12 09:19:41.498010,-0.164,-0.324, 0.070
2021-09-12 09:19:41.598216, 0.095,-0.149, 0.002
2021-09-12 09:19:41.698422,-0.149, 0.057, 0.078
2021-09-12 09:19:41.798649,-0.103, 0.035,-0.158
2021-09-12 09:19:41.898861, 0.072, 0.248,-0.189
2021-09-12 09:19:41.999076,-0.058,-0.095, 0.009
2021-09-12 09:19:42.099286,-0.080, 0.042,-0.334
2021-09-12 09:19:42.199495, 0.049,-0.110,-0.281
2021-09-12 09:19:42.299705,-0.012, 0.057,-0.029
2021-09-12 09:19:42.399930,-0.172,-0.217, 0.078
2021-09-12 09:19:42.500144, 0.286, 0.126, 0.147
2021-09-12 09:19:42.600366,-0.111, 1.698,-0.082
2021-09-12 09:19:42.700586,-0.012,-0.194,-0.067
2021-09-12 09:19:42.800809,-0.111,-0.133, 0.261
2021-09-12 09:19:42.901022,-0.203,-0.011, 0.170
2021-09-12 09:19:43.001254,-0.126, 0.057,-0.029
2021-09-12 09:19:43.101485,-0.164, 0.012, 0.139
2021-09-12 09:19:43.201723,-0.058,-0.156, 0.139
2021-09-12 09:19:43.302007,-0.210, 0.042,-0.151
2021-09-12 09:19:43.402228,-0.012, 0.256,-0.105
2021-09-12 09:19:43.502431,-0.019, 0.111, 0.101
2021-09-12 09:19:43.602662,-0.157,-0.004,-0.075
2021-09-12 09:19:43.702877,-0.164, 0.118, 0.032
2021-09-12 09:19:43.803092, 0.309, 0.210,-0.113
2021-09-12 09:19:43.903300, 0.133, 0.073,-0.151
2021-09-12 09:19:44.003507,-0.279, 0.012,-0.029
2021-09-12 09:19:44.103710, 0.103,-0.004, 0.147
2021-09-12 09:19:44.203941,-0.050,-0.004,-0.136
2021-09-12 09:19:44.304160,-0.096,-0.026, 0.139
2021-09-12 09:19:44.404379,-0.172, 0.187, 0.017
2021-09-12 09:19:44.504587,-0.149,-0.004, 0.261
2021-09-12 09:19:44.604796,-0.149,-0.103, 0.063
2021-09-12 09:19:44.705025,-0.126,-0.026, 0.009
2021-09-12 09:19:44.805252,-0.027,-0.171,-0.204
2021-09-12 09:19:44.905463, 0.080, 1.690, 0.124
2021-09-12 09:19:45.005677, 0.087,-0.088, 0.086
2021-09-12 09:19:45.105888, 0.187, 0.111, 0.208
2021-09-12 09:19:45.206095,-0.058,-0.225, 0.185
2021-09-12 09:19:45.306321,-0.142, 0.149, 0.208
2021-09-12 09:19:45.406543, 0.087,-0.118, 0.009
2021-09-12 09:19:45.506751, 0.080,-0.171,-0.181
2021-09-12 09:19:45.606955,-0.012,-0.126, 0.048
2021-09-12 09:19:45.707177,-0.142, 0.180, 0.154
2021-09-12 09:19:45.807392,-0.172,-0.110,-0.158
2021-09-12 09:19:45.907621, 0.087, 0.035,-0.128
2021-09-12 09:19:46.007894,-0.103, 0.111, 0.040
2021-09-12 09:19:46.108110,-0.111, 0.012, 0.231
2021-09-12 09:19:46.208333,-0.157, 0.111, 0.406
2021-09-12 09:19:46.308556, 0.072,-0.049, 0.040
2021-09-12 09:19:46.408767,-0.042,-0.095,-0.090
2021-09-12 09:19:46.508986, 0.133,-0.210, 0.055
2021-09-12 09:19:46.609209, 0.133, 0.073,-0.052
2021-09-12 09:19:46.709418, 0.087, 0.027, 0.032
2021-09-12 09:19:46.809627,-0.042,-0.103,-0.052
2021-09-12 09:19:46.909830,-0.111,-0.042,-0.021
2021-09-12 09:19:47.010084,-0.019, 0.157,-0.052
2021-09-12 09:19:47.110302, 0.072, 0.088,-0.174
2021-09-12 09:19:47.210525, 0.042,-0.026, 0.482
2021-09-12 09:19:47.310743,-0.042, 0.218, 0.307
2021-09-12 09:19:47.410956, 0.118, 0.096,-0.014
2021-09-12 09:19:47.511165, 0.110,-0.088,-0.014
2021-09-12 09:19:47.611370, 0.141,-0.026, 0.078
2021-09-12 09:19:47.711596,-0.195,-0.011,-0.120
2021-09-12 09:19:47.811822, 0.026,-0.042,-0.197
2021-09-12 09:19:47.912043,-0.180, 0.088, 0.009
2021-09-12 09:19:48.012253,-0.027, 0.019,-0.189
2021-09-12 09:19:48.112747,-0.164,-0.202,-0.006
2021-09-12 09:19:48.213148,-0.210,-0.072,-0.120
2021-09-12 09:19:48.313639, 0.072, 0.057,-0.097
2021-09-12 09:19:48.413865,-0.180,-0.156,-0.052
2021-09-12 09:19:48.514076, 0.103,-0.088,-0.097
2021-09-12 09:19:48.614288, 0.003,-0.026, 0.124
2021-09-12 09:19:48.714500,-0.065, 0.324, 0.078
