yyyy-mm-dd hh:mm:ss.mmmmmm,x [g],y [g],z [g]
2021-09-14 06:08:33.069525, 0.009, 0.063, 0.996
2021-09-14 06:08:33.169764, 0.009, 0.078, 1.002
2021-09-14 06:08:33.269995, 0.005, 0.077, 1.015
2021-09-14 06:08:33.370214, 0.006, 0.079, 0.998
2021-09-14 06:08:33.470420, 0.008, 0.075, 1.000
2021-09-14 06:08:33.570629, 0.004, 0.079, 0.992
2021-09-14 06:08:33.670839, 0.003, 0.080, 1.003
2021-09-14 06:08:33.771060, 0.007, 0.078, 1.000
2021-09-14 06:08:33.871294, 0.008, 0.079, 1.002
2021-09-14 06:08:33.971510, 0.007, 0.080, 0.998
2021-09-14 06:08:34.071731, 0.007, 0.079, 0.994
2021-09-14 06:08:34.171950, 0.010, 0.081, 0.998
2021-09-14 06:08:34.272165, 0.003, 0.082, 1.003
2021-09-14 06:08:34.372399, 0.004, 0.081, 0.997
2021-09-14 06:08:34.472627, 0.001, 0.078, 0.999
2021-09-14 06:08:34.572840, 0.003, 0.080, 0.998
2021-09-14 06:08:34.673050, 0.004, 0.079, 1.001
2021-09-14 06:08:34.773262, 0.004, 0.077, 0.999
2021-09-14 06:08:34.873744, 0.008, 0.080, 0.998
2021-09-14 06:08:34.973942, 0.006, 0.063, 0.998
2021-09-14 06:08:35.074109, 0.006, 0.079, 1.003
2021-09-14 06:08:35.174276, 0.005, 0.093, 0.999
2021-09-14 06:08:35.274466, 0.006, 0.081, 0.995
2021-09-14 06:08:35.374617, 0.006, 0.078, 0.995
2021-09-14 06:08:35.474760, 0.008, 0.092, 1.004
2021-09-14 06:08:35.574913, 0.004, 0.081, 1.003
2021-09-14 06:08:35.675088, 0.008, 0.079, 1.001
2021-09-14 06:08:35.775278, 0.002, 0.081, 0.998
2021-09-14 06:08:35.875473, 0.008, 0.078, 0.999
2021-09-14 06:08:35.975659, 0.007, 0.075, 0.999
2021-09-14 06:08:36.075838, 0.006, 0.079, 1.003
2021-09-14 06:08:36.176054, 0.005, 0.076, 1.000
2021-09-14 06:08:36.276284, 0.008, 0.093, 1.006
2021-09-14 06:08:36.376505, 0.003, 0.083, 1.001
2021-09-14 06:08:36.476720, 0.009, 0.081, 1.000
2021-09-14 06:08:36.576932, 0.008, 0.078, 0.997
2021-09-14 06:08:36.677152, 0.009, 0.092, 1.010
2021-09-14 06:08:36.777367, 0.003, 0.079, 1.000
2021-09-14 06:08:36.877595, 0.007, 0.079, 0.999
2021-09-14 06:08:36.977810, 0.007, 0.077, 0.989
2021-09-14 06:08:37.078027, 0.008, 0.081, 0.999
2021-09-14 06:08:37.178248, 0.005, 0.093, 0.998
