delta_t,x [g],y [g],z [g],x [dps],y [dps],z [dps],x [uT],y [uT],z [uT]
1.3224434852600098,-0.002,-0.009, 1.015, 0.829,-0.359,-0.465,-18.024, 8.297,15.448
1.342949390411377, 0.008,-0.043, 1.021, 0.752,-0.832,-2.411,-15.450, 8.011,14.018
1.3635029792785645,-0.003,-0.061, 1.021,-1.094,-1.336,-2.144,-14.591, 9.441,16.021
1.3840572834014893, 0.012,-0.026, 1.013,-0.125,-1.778,-4.303,-13.161,10.300,14.590
1.4041366577148438,-0.021,-0.031, 1.001,-0.888,-2.251, 0.321,-18.024, 8.297,14.876
1.4246454238891602, 0.018,-0.010, 0.999,-0.934,-3.357, 1.404,-13.733, 9.155,16.307
1.4446961879730225, 0.010,-0.075, 1.019, 1.187,-5.570, 1.778,-14.591, 8.297,16.021
1.465188980102539,-0.005,-0.036, 1.005, 0.211,-6.737, 6.821,-15.736, 9.441,14.876
1.4856736660003662,-0.006,-0.002, 1.041,-2.307,-6.958, 1.778,-14.019, 6.008,17.165
1.50718092918396, 0.016,-0.047, 1.033, 0.829,-7.386,-2.113,-14.591, 8.297,13.732
1.5272104740142822, 0.006,-0.027, 1.010, 0.081,-6.501,-1.518,-16.308, 7.153,15.448
1.5472471714019775, 0.025,-0.002, 1.024,-0.064,-4.456,-2.899,-14.591, 8.869,16.593
1.5672845840454102, 0.018,-0.029, 1.020,-0.201,-3.044,-0.313,-14.591, 8.297,15.448
1.587315320968628, 0.014,-0.048, 1.018,-1.926,-2.930,-3.364,-14.877, 6.294,15.162
1.607818841934204, 0.018,-0.047, 1.013,-3.589,-1.137,-3.418,-12.302, 8.869,14.304
1.6283001899719238, 0.023, 0.042, 1.026,-3.902, 1.739, 1.038,-16.308, 7.725,13.732
1.6483283042907715, 0.017, 0.015, 1.040,-2.147, 4.432,-4.341,-13.733, 7.439,15.162
1.6688027381896973,-0.017,-0.031, 1.029,-0.888, 8.125,-6.462,-12.302, 8.297,16.021
1.6892809867858887,-0.009, 0.051, 1.049,-1.788,11.711,-5.928,-14.591,10.014,14.304
1.7097299098968506, 0.019, 0.054, 1.031,-1.445,14.709,-3.479,-14.019, 8.869,12.587
1.730224609375,-0.009, 0.100, 1.002,-1.933,13.870,-0.679,-16.022, 7.439,15.162
1.7502691745758057, 0.050,-0.070, 1.010, 1.508, 0.122, 3.372,-15.450, 7.439,15.162
1.7707581520080566, 0.014, 0.062, 1.050, 0.111, 1.655, 1.862,-15.450,10.300,16.307
1.791247844696045,-0.022,-0.037, 1.004, 2.179, 0.923, 0.153,-16.594, 7.439,14.590
1.811462640762329, 0.020,-0.005, 1.031, 0.386, 0.091, 5.181,-13.161, 6.294,12.873
1.8321123123168945, 0.019,-0.014, 1.046,-0.781, 0.145, 5.921,-16.308, 6.580,13.732
1.8526906967163086, 0.009, 0.011, 1.057,-0.552, 0.129, 3.769,-16.022, 5.722,13.446
1.8728768825531006,-0.006, 0.007, 1.013, 0.287,-0.084, 0.206,-16.022, 7.439,13.446
1.8930609226226807,-0.010,-0.048, 1.029,-0.026, 0.496,-0.076,-16.880,10.586,16.593
1.9138612747192383, 0.002,-0.040, 0.991,-0.117,-0.321,-0.084,-15.163, 6.008,13.160
1.9338970184326172,-0.006, 0.007, 1.028,-0.743, 0.015, 2.106,-14.305, 8.583,14.018
1.9539217948913574,-0.004,-0.043, 1.061,-1.071, 1.747,-1.015,-15.450, 8.011,15.162
1.9745409488677979,-0.007,-0.031, 1.023, 0.966,-0.451,-5.142,-17.166,10.300,11.729
1.9950830936431885, 0.017,-0.037, 1.004, 0.096,-0.718, 1.923,-15.736, 4.864,13.160
2.005800724029541, 0.004,-0.017, 0.989,-0.385,-0.054,-0.679,-15.450, 6.294,14.018
2.0259082317352295,-0.040, 0.030, 1.001,-2.093,-0.069, 0.717,-16.880, 7.725,13.732
2.0459749698638916, 0.019, 0.055, 1.034,-1.781, 0.251,-2.403,-18.311, 6.866,14.590
2.0660486221313477, 0.005, 0.012, 1.008, 1.202, 1.739,-1.427,-18.024, 6.580,11.443
2.0865182876586914, 0.002, 0.002, 0.965, 0.279,-0.687,-3.151,-15.450, 9.155,12.873
2.106938362121582,-0.007, 0.005, 1.034, 0.790,-1.679, 0.382,-15.450, 8.583,12.873
2.1270604133605957,-0.005, 0.141, 1.030, 0.996, 0.709,12.345,-18.883, 7.439,14.018
2.1475112438201904, 0.026, 0.097, 1.033, 0.409, 0.099, 0.046,-15.736, 8.869,13.732
2.16794490814209,-0.005, 0.206, 1.007, 1.004,-0.000,-4.173,-18.311, 7.439,13.446
2.1885952949523926, 0.017, 0.247, 1.005,-0.438, 0.076,-1.068,-17.166, 9.727,14.018
2.200289249420166, 0.014, 0.202, 1.001,-0.537,-0.008, 0.595,-18.311, 5.150,13.446
2.210003137588501, 0.006, 0.087, 0.996,-1.285, 0.091,-0.946,-18.311, 7.439,15.162
2.219731330871582, 0.001, 0.013, 1.003,-2.299, 0.038,-1.175,-16.308, 7.153,12.015
2.2426772117614746,-0.004,-0.003, 1.019,-3.352, 0.297,-1.449,-16.880, 9.441,12.587
2.252331018447876,-0.001, 0.001, 1.017,-4.306, 0.404,-1.152,-17.738, 5.722,15.162
2.2619194984436035,-0.005,-0.011, 1.013,-3.642, 0.251,-1.251,-18.024, 7.153,12.587
2.271336793899536, 0.002,-0.020, 1.002,-2.414,-0.183, 0.809,-16.022, 6.294,14.018
2.2807466983795166,-0.005,-0.018, 1.014,-2.010, 0.122,-0.824,-16.594, 9.727,12.873
2.300783634185791, 0.002,-0.018, 1.007,-0.964,-0.130,-0.374,-16.880, 8.297,12.015
2.3207411766052246,-0.001,-0.013, 1.017,-0.056,-0.122, 0.374,-17.738, 6.294,11.157
2.341029167175293, 0.001,-0.007, 1.015, 0.607,-0.046, 0.618,-16.594, 6.294,12.873
2.361302375793457, 0.003,-0.010, 1.015, 1.164,-0.061, 1.427,-18.597, 7.725,13.732
2.381580114364624,-0.001,-0.016, 1.013, 1.881,-0.489, 0.572,-14.591, 6.580,13.732
2.4018795490264893,-0.007,-0.227, 1.013,-0.087,-0.771,-0.175,-16.022, 6.866,12.301
2.4224045276641846,-0.004,-0.191, 1.027,-2.628,-0.481,-2.647,-17.738, 5.150,14.018
2.4431982040405273,-0.008,-0.190, 1.010,-4.481,-0.542, 0.481,-16.594, 8.011,14.018
2.4634151458740234, 0.004,-0.178, 1.027,-0.888, 0.099,-1.983,-18.024, 4.864,13.732
2.483699083328247, 0.004,-0.137, 1.029, 1.401, 0.419,-0.343,-18.024, 7.153,12.587
2.5042898654937744, 0.010,-0.107, 1.020, 3.743,-0.130, 4.257,-19.169, 4.864,13.732
2.5246176719665527,-0.015,-0.210, 1.036,-0.613, 0.145, 9.049,-17.738, 8.011,14.018
2.5446557998657227, 0.035,-0.202, 1.054, 0.508,-1.076,-3.174,-16.308, 6.580,12.015
2.565459728240967, 0.009,-0.079, 1.016, 1.592, 0.557,-7.515,-17.738, 5.722,14.590
2.585554838180542,-0.043,-0.035, 1.010,-1.971,-0.702, 1.969,-21.172, 6.866,13.446
2.6060376167297363, 0.024,-0.056, 0.981,-1.033, 0.991, 2.152,-17.166, 5.722,12.301
2.626075029373169,-0.005, 0.003, 0.986, 1.126, 0.610, 2.030,-16.022, 7.439,14.590
2.6465260982513428, 0.032, 0.014, 0.972,-0.903,-0.481, 2.396,-18.311, 5.150,13.446
2.6670186519622803,-0.019,-0.001, 1.011,-0.423,-0.191, 0.710,-16.880, 6.580,13.732
2.687488079071045,-0.016, 0.110, 1.066,-2.078, 1.556, 2.625,-18.883, 4.578,12.301
2.707458257675171, 0.008, 0.053, 1.020,-0.087,-0.611,-0.427,-18.597, 3.719,13.732
2.7279934883117676, 0.033, 0.052, 1.043,-2.132,-0.634, 2.808,-19.741, 5.436,12.587
2.7484734058380127, 0.003,-0.030, 1.044,-2.742, 1.846,-1.297,-17.166, 5.150,12.301
2.7690441608428955, 0.001, 0.002, 1.015,-3.101, 0.877, 1.511,-18.597, 6.580,12.587
2.7890164852142334, 0.001,-0.001, 0.981,-0.926, 0.328, 0.344,-21.458, 5.436,13.160
2.809485912322998, 0.004, 0.004, 1.007, 1.096,-2.152, 0.977,-16.880, 5.436,12.587
2.8300745487213135, 0.012,-0.034, 0.988,-1.811,-1.244,-2.434,-18.311, 5.722,10.585
2.850093126296997, 0.012,-0.016, 1.059,-4.153, 0.366, 3.769,-18.311, 4.578,12.873
2.870570659637451, 0.019, 0.014, 1.011,-3.322,-0.389,-1.640,-16.308, 4.292,16.021
2.8910229206085205,-0.006, 0.092, 1.034,-1.430, 0.915,-1.770,-17.738, 1.144,11.729
2.9114203453063965,-0.030,-0.017, 1.025, 1.103,-0.252,-0.343,-16.880, 3.719,12.587
2.9319541454315186,-0.005, 0.094, 0.988,-0.293, 0.923, 3.983,-18.024, 2.575,13.732
2.9519968032836914,-0.024, 0.016, 0.988,-0.552, 0.320, 4.639,-20.599, 4.005, 8.868
2.972470283508301, 0.011, 0.050, 1.022,-0.728, 0.167, 3.273,-18.597, 4.292,12.015
2.9929516315460205, 0.057, 0.047, 0.999, 4.659,-1.030, 0.038,-20.599, 3.433,12.301
3.013005018234253,-0.024, 0.131, 1.029, 2.896, 1.106, 4.143,-19.455, 5.722,11.729
3.033508777618408, 0.004,-0.016, 0.981, 1.500,-0.061, 3.235,-19.169, 5.436,13.160
3.0539820194244385, 0.009,-0.013, 1.023,-1.361,-0.466, 3.334,-22.316, 5.150,13.446
3.0744900703430176, 0.037, 0.005, 1.038,-1.109,-0.687,-1.732,-19.169, 4.864,12.015
3.0944526195526123, 0.016, 0.020, 0.984, 0.005,-0.023,-6.347,-18.883, 2.861,11.729
3.114912509918213, 0.013, 0.016, 1.013,-0.247, 0.007,-2.556,-17.166, 5.722,13.446
3.1353604793548584, 0.015,-0.028, 1.011,-1.102, 0.106,-2.357,-18.597, 3.719,11.443
3.1558282375335693, 0.002,-0.079, 0.981,-1.117,-0.451,-8.346,-20.313, 3.719,13.160
3.176816940307617,-0.012,-0.018, 1.017,-4.459,-0.107, 3.555,-19.169, 4.864,13.160
3.196958065032959,-0.108, 0.112, 1.100,-9.525, 0.450,15.351,-18.024, 3.147,12.015
3.217027187347412, 0.023,-0.060, 1.049, 1.851,-3.067, 2.297,-17.738, 5.722,13.446
3.23724102973938, 0.010, 0.169, 1.065, 2.248, 0.297,-1.434,-17.166, 2.861,12.873
3.2579140663146973, 0.013,-0.014, 1.041, 2.370,-1.625,-9.430,-18.597, 3.719,13.732
3.2781214714050293,-0.059, 0.242, 0.999, 3.201, 1.182,-1.144,-20.027, 2.861,12.301
3.2983238697052,-0.027, 0.110, 0.990, 2.110, 0.534,14.023,-20.885,-1.146,10.871
3.318972587585449, 0.013, 0.154, 1.003,-0.690, 0.740,11.399,-18.597, 3.147,13.160
3.339259624481201, 0.008, 0.091, 1.003, 0.295, 0.549, 7.019,-17.166, 2.861,16.307
3.3593013286590576, 0.009, 0.047, 1.010,-0.438, 0.831, 5.074,-18.597, 4.292, 9.726
3.379779815673828, 0.007, 0.006, 1.016,-0.842, 0.473, 1.045,-20.027, 2.289,12.873
3.4002392292022705, 0.011,-0.015, 1.012,-0.514, 0.091,-0.885,-20.313, 4.864,13.160
3.420703172683716, 0.016,-0.044, 1.009,-0.095,-0.046,-1.549,-19.169, 3.719,14.876
3.4407546520233154, 0.022,-0.103, 1.015,-0.011,-0.611,-4.448,-20.885, 3.719,13.732
3.461233615875244, 0.012,-0.043, 1.016,-0.064,-0.664,-8.026,-19.455, 2.289,14.018
3.481705665588379,-0.014,-0.039, 1.020, 0.150, 0.076,-6.859,-20.599, 0.572,12.301
3.5021748542785645,-0.044,-0.010, 1.023, 0.356,-0.290,-1.030,-19.455, 2.861,13.446
3.5222012996673584,-0.013,-0.047, 0.998, 0.531, 0.129, 4.646,-18.597, 2.575,14.304
3.542879819869995,-0.008,-0.038, 1.001, 0.165, 0.328, 9.567,-19.741, 4.292,13.732
3.5635175704956055, 0.015,-0.024, 1.005,-0.529, 0.061, 8.812,-20.313, 2.575,13.732
3.58369779586792,-0.009,-0.037, 1.021,-0.804, 0.946, 5.394,-17.452, 3.147,13.160
3.6038894653320312,-0.020,-0.021, 1.031,-0.919, 0.236, 3.052,-18.883, 3.433,12.873
3.62453556060791, 0.046,-0.042, 0.996,-1.102,-0.504,-2.258,-18.311, 4.578,12.301
3.645073413848877, 0.022,-0.033, 0.999,-1.514,-0.832,-5.821,-21.744, 2.861,14.018
3.665151596069336, 0.001, 0.010, 1.022,-0.140,-0.443,-3.761,-19.455, 1.717,16.307
3.6855058670043945,-0.034, 0.050, 1.009,-0.179,-0.252,-3.967,-20.027, 4.005,15.735
3.7061166763305664, 0.004, 0.025, 1.015, 1.172, 1.556,-1.472,-18.311, 1.717,11.157
3.7260873317718506,-0.002, 0.044, 1.012,-0.163, 0.198,-0.282,-19.741, 3.719,13.732
3.7466719150543213,-0.003, 0.025, 1.009,-0.499, 0.404, 2.701,-19.455, 3.433,14.018
3.766916513442993,-0.022, 0.021, 1.001,-0.659, 0.190, 0.778,-18.024, 3.147,13.732
3.7876017093658447, 0.002, 0.012, 0.998, 0.195,-0.130,-0.915,-18.597, 2.575,13.732
3.8077900409698486, 0.004,-0.003, 1.012,-0.743,-0.077,-4.608,-20.027, 2.861,13.446
3.8280508518218994, 0.003,-0.026, 1.019,-1.086,-0.573,-5.203,-19.741, 1.431,14.876
3.848414182662964, 0.011,-0.036, 1.012,-0.644,-0.336,-6.363,-18.883, 1.144, 9.440
3.8684494495391846, 0.001,-0.012, 1.010, 0.302,-0.229,-5.684,-18.883, 1.144,11.729
3.8889243602752686,-0.004, 0.017, 1.007, 0.653,-0.290,-3.425,-19.741, 1.431,13.732
3.9094150066375732,-0.002, 0.039, 1.005, 1.126,-0.107,-2.838,-18.597, 1.431,12.015
3.9300360679626465,-0.000, 0.027, 1.014, 0.912,-0.069, 1.358,-20.027, 0.572,12.873
3.950092077255249, 0.001, 0.003, 0.996, 0.638,-0.290, 0.069,-19.455, 2.861,11.157
3.970571756362915,-0.002,-0.005, 1.009,-0.331, 0.099,-0.397,-19.741, 2.575,12.587
3.9905967712402344,-0.003,-0.006, 1.020,-0.903,-0.115,-0.595,-20.599, 1.717,15.162
4.011085510253906, 0.002,-0.013, 1.014,-2.628,-0.039,-0.557,-19.741, 1.431,10.871
4.031711578369141, 0.000,-0.012, 1.011,-0.201,-0.290,-0.053,-18.597, 3.147,12.015
4.051931858062744,-0.000,-0.008, 1.017, 0.066,-0.115, 0.061,-19.169,-0.573,11.443
4.0726025104522705, 0.003,-0.007, 0.998,-0.285,-0.283, 0.351,-18.597, 2.575,12.015
4.092788219451904, 0.002,-0.009, 1.005, 0.058,-0.054, 0.153,-19.741, 1.431,13.160
4.1134254932403564,-0.001,-0.009, 1.013, 0.264,-0.008,-0.068,-20.885, 3.147,14.304
4.133611440658569,-0.002,-0.009, 1.018,-0.095,-0.008,-0.030,-19.169, 1.431,13.160
4.153957843780518,-0.002,-0.007, 1.015, 1.202, 1.724,-0.023,-16.880, 4.864,12.015
4.1739866733551025, 0.001,-0.005, 1.013,-0.796,-0.122,-0.030,-19.169, 2.003,13.732
4.1944615840911865, 0.002,-0.011, 1.014, 0.089,-0.039,-0.213,-18.311, 2.289,10.585
4.2149412631988525, 0.002,-0.008, 1.015, 0.264,-0.389, 0.183,-19.455,-0.287,10.585
4.235411643981934, 0.003,-0.005, 1.003,-0.362,-0.046,-0.290,-20.599, 2.861,11.157
4.255573749542236,-0.001,-0.005, 0.998,-0.590,-0.016,-0.213,-19.741, 2.575,13.160
4.276237726211548, 0.001,-0.005, 1.006,-0.514,-0.054, 0.000,-20.027, 2.289,13.446
4.296442270278931,-0.000,-0.015, 1.013,-0.110,-0.092,-0.274,-17.738, 2.289,14.018
4.317021369934082, 0.002,-0.008, 1.009, 0.600,-0.000,-0.282,-19.169, 3.147,12.587
4.3371710777282715,-0.000,-0.010, 1.008, 0.150,-0.306, 0.107,-19.169, 1.431,12.015
4.357866048812866, 0.001,-0.022, 1.000, 0.394, 0.053,-0.099,-19.169, 1.431,12.015
4.3786845207214355,-0.002,-0.009, 1.012, 0.020, 0.244, 0.061,-19.455, 2.861,12.301
4.398791551589966, 0.002,-0.021, 1.026, 0.165,-0.031,-0.183,-21.458, 3.147,10.871
4.418853044509888,-0.001,-0.007, 1.008, 0.371,-0.023, 0.252,-19.455, 1.717,11.157
