acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
 0.977, 0.053,-0.187,-0.625,-1.850, 0.045
 0.958, 0.071,-0.197,-0.675,-1.992, 0.030
 0.930, 0.013,-0.280,-0.685,-2.046, 0.038
 0.927,-0.013,-0.322,-0.651,-2.028, 0.036
 0.921,-0.028,-0.342,-0.582,-2.033, 0.010
 0.921,-0.028,-0.342,-0.474,-2.070,-0.024
 0.917,-0.029,-0.316,-0.299,-1.857,-0.028
 0.929,-0.050,-0.357,-0.069,-1.239,-0.052
 0.929,-0.050,-0.357, 0.105,-0.524,-0.083
 0.972,-0.073,-0.412, 0.204,-0.116,-0.105
 0.945,-0.009,-0.372, 0.227,-0.218,-0.147
 0.922, 0.027,-0.280, 0.220,-0.648,-0.174
 0.916, 0.044,-0.265, 0.194,-1.105,-0.176
 0.916, 0.044,-0.265, 0.169,-1.494,-0.147
 0.903, 0.048,-0.293, 0.141,-1.771,-0.111
 0.916, 0.033,-0.361, 0.106,-1.997,-0.133
 0.916, 0.033,-0.361, 0.049,-2.218,-0.099
 0.937, 0.036,-0.382, 0.051,-2.292,-0.061
 0.899, 0.039,-0.425, 0.085,-2.218,-0.029
 0.899, 0.039,-0.425, 0.128,-2.070, 0.008
 0.886, 0.043,-0.458, 0.152,-1.928, 0.036
 0.875, 0.056,-0.523, 0.163,-1.831, 0.032
 0.875, 0.056,-0.523, 0.183,-1.793,-0.010
 0.879, 0.043,-0.529, 0.235,-1.775,-0.102
 0.891, 0.026,-0.532, 0.307,-1.824,-0.201
 0.818, 0.038,-0.514, 0.401,-1.882,-0.245
 0.818, 0.038,-0.514, 0.505,-2.026,-0.250
 0.762, 0.050,-0.517, 0.624,-2.250,-0.245
 0.716, 0.039,-0.519, 0.738,-2.422,-0.242
 0.686, 0.016,-0.532, 0.744,-2.223,-0.202
 0.597, 0.014,-0.843, 0.690,-1.872,-0.177
 0.597, 0.014,-0.843, 0.682,-1.552,-0.223
 0.626,-0.007,-0.822, 0.678,-1.341,-0.245
 0.660, 0.010,-0.797, 0.678,-1.208,-0.283
 0.660, 0.010,-0.797, 0.689,-1.062,-0.330
 0.660, 0.002,-0.789, 0.698,-0.949,-0.386
 0.660, 0.002,-0.789, 0.700,-0.857,-0.444
 0.669, 0.004,-0.780, 0.707,-0.728,-0.471
 0.659, 0.011,-0.784, 0.698,-0.588,-0.517
 0.616,-0.002,-0.753, 0.664,-0.602,-0.629
 0.599,-0.020,-0.730, 0.625,-0.700,-0.761
 0.599,-0.020,-0.730, 0.544,-0.726,-0.857
 0.598,-0.056,-0.814, 0.464,-0.672,-0.934
 0.619,-0.071,-0.836, 0.408,-0.573,-0.962
 0.614,-0.058,-0.846, 0.298,-0.451,-0.958
 0.614,-0.058,-0.846, 0.097,-0.462,-0.752
 0.700,-0.000,-0.799,-0.003,-0.469,-0.547
 0.700,-0.000,-0.799,-0.065,-0.503,-0.449
 0.625, 0.064,-0.832,-0.176,-0.354,-0.278
 0.625, 0.064,-0.832,-0.299, 0.060,-0.169
 0.582, 0.062,-0.911,-0.443, 0.596,-0.194
 0.566, 0.028,-0.964,-0.500, 1.130,-0.373
 0.563,-0.070,-0.954,-0.447, 1.458,-0.632
 0.563,-0.070,-0.954,-0.394, 1.443,-0.924
 0.614,-0.168,-0.708,-0.467, 1.165,-1.154
 0.623,-0.164,-0.559,-0.712, 0.811,-1.273
 0.623,-0.164,-0.559,-0.929, 0.508,-1.265
 0.644,-0.147,-0.493,-1.009, 0.417,-1.109
 0.661,-0.082,-0.544,-0.844, 0.287,-0.806
 0.678, 0.134,-0.713,-0.477, 0.054,-0.477
 0.695, 0.194,-0.765,-0.248,-0.076,-0.181
 0.716, 0.152,-0.714,-0.138,-0.243, 0.116
 0.716, 0.152,-0.714,-0.166,-0.203, 0.253
 0.658, 0.161,-0.701,-0.164,-0.207, 0.215
 0.575, 0.115,-0.635,-0.245,-0.221, 0.005
 0.517, 0.084,-0.639,-0.424,-0.102,-0.329
 0.537, 0.079,-0.673,-0.536,-0.021,-0.642
 0.612, 0.089,-0.735,-0.544, 0.041,-0.848
 0.612, 0.089,-0.735,-0.515, 0.024,-0.830
 0.687, 0.128,-0.804,-0.407,-0.059,-0.613
 0.798, 0.257,-0.809,-0.257,-0.139,-0.398
 0.798, 0.257,-0.809,-0.104,-0.168,-0.248
 0.774, 0.286,-0.832, 0.000,-0.196,-0.140
 0.734, 0.264,-0.822, 0.026,-0.225,-0.097
 0.699, 0.190,-0.766,-0.021,-0.254,-0.130
 0.699, 0.190,-0.766,-0.107,-0.287,-0.225
 0.655, 0.160,-0.704,-0.207,-0.306,-0.343
 0.578, 0.157,-0.660,-0.293,-0.265,-0.430
 0.597, 0.147,-0.669,-0.331,-0.286,-0.467
 0.627, 0.155,-0.686,-0.355,-0.345,-0.454
 0.641, 0.177,-0.720,-0.383,-0.423,-0.391
 0.660, 0.187,-0.734,-0.411,-0.499,-0.304
 0.665, 0.193,-0.725,-0.456,-0.622,-0.206
 0.665, 0.193,-0.725,-0.482,-0.817,-0.097
 0.682, 0.240,-0.674,-0.450,-1.013, 0.048
 0.682, 0.286,-0.679,-0.396,-1.221, 0.118
 0.682, 0.286,-0.679,-0.041,-1.015, 0.052
 0.586, 0.311,-0.731, 0.377,-1.060, 0.155
 0.502, 0.359,-0.906, 0.510,-1.153, 0.313
 0.538, 0.319,-0.806, 0.411,-1.283, 0.404
 0.554, 0.201,-0.710, 0.285,-1.441, 0.464
 0.517, 0.197,-0.729, 0.233,-1.680, 0.471
 0.480, 0.176,-0.675, 0.176,-2.070, 0.472
 0.480, 0.176,-0.675, 0.108,-2.384, 0.439
 0.492, 0.130,-0.631, 0.203,-2.600, 0.398
 0.506, 0.170,-0.732, 0.416,-2.865, 0.374
 0.479, 0.177,-0.829, 0.554,-3.018, 0.364
 0.479, 0.177,-0.829, 0.715,-2.932, 0.297
 0.435, 0.101,-0.972, 0.786,-2.795, 0.218
 0.316, 0.074,-0.994, 0.809,-2.713, 0.152
 0.307, 0.099,-0.839, 1.100,-3.021, 0.067
 0.307, 0.099,-0.839, 1.110,-3.282, 0.047
 0.288, 0.119,-0.651, 1.000,-3.307, 0.035
 0.227, 0.061,-0.836, 1.031,-3.272,-0.015
 0.199, 0.047,-0.977, 1.441,-3.677,-0.102
 0.210, 0.033,-0.860, 1.735,-3.960, 0.056
 0.056, 0.134,-0.921, 1.735,-3.764, 0.326
 0.056, 0.134,-0.921, 1.434,-2.791, 0.525
-0.053, 0.127,-1.371, 1.069,-1.825, 0.604
 0.016,-0.027,-1.529, 0.779,-1.893, 0.638
 0.016,-0.027,-1.529, 0.484,-2.456, 0.630
 0.005,-0.054,-1.047, 0.278,-2.542, 0.585
 0.005,-0.059,-1.010, 0.239,-2.392, 0.547
-0.016,-0.020,-0.985, 0.256,-2.451, 0.539
-0.010,-0.042,-0.912, 0.249,-2.645, 0.474
-0.010,-0.083,-0.907, 0.242,-2.672, 0.369
-0.050,-0.079,-0.948, 0.261,-2.598, 0.309
-0.110,-0.028,-0.943, 0.247,-2.568, 0.298
-0.154, 0.012,-0.933, 0.196,-2.602, 0.308
-0.154, 0.012,-0.933, 0.113,-2.567, 0.332
-0.231,-0.010,-0.964,-0.002,-2.545, 0.324
-0.231,-0.010,-0.964,-0.137,-2.614, 0.312
-0.281,-0.045,-0.942,-0.213,-2.717, 0.319
-0.352,-0.005,-0.917,-0.259,-2.822, 0.388
-0.352,-0.005,-0.917,-0.293,-2.920, 0.472
-0.389, 0.036,-0.914,-0.364,-3.007, 0.544
-0.440, 0.038,-0.923,-0.429,-3.043, 0.590
-0.440, 0.038,-0.923,-0.485,-3.149, 0.645
-0.456, 0.043,-0.920,-0.497,-3.204, 0.635
-0.454, 0.053,-0.890,-0.482,-3.185, 0.578
-0.435, 0.044,-0.875,-0.450,-3.049, 0.494
-0.432, 0.034,-0.867,-0.384,-2.857, 0.399
-0.432, 0.034,-0.867,-0.347,-2.697, 0.326
-0.494, 0.036,-0.915,-0.415,-2.572, 0.280
-0.532, 0.056,-0.938,-0.530,-2.571, 0.268
-0.562, 0.050,-0.898,-0.633,-2.694, 0.260
-0.562, 0.050,-0.898,-0.759,-3.048, 0.251
-0.589, 0.085,-0.827,-0.838,-3.417, 0.226
-0.605, 0.101,-0.744,-0.826,-3.536, 0.178
-0.605, 0.072,-0.716,-0.731,-3.404, 0.112
-0.617, 0.065,-0.751,-0.627,-3.261, 0.051
-0.655, 0.090,-0.737,-0.510,-3.244, 0.004
-0.679, 0.122,-0.629,-0.412,-3.257,-0.011
-0.692, 0.142,-0.546,-0.329,-3.275,-0.018
-0.724, 0.143,-0.534,-0.249,-3.362,-0.053
-0.771, 0.095,-0.485,-0.186,-3.503,-0.090
-0.806, 0.110,-0.478,-0.159,-3.649,-0.088
-0.806, 0.110,-0.478,-0.136,-3.617,-0.079
-0.837, 0.128,-0.507,-0.144,-3.433,-0.092
-0.857, 0.113,-0.528,-0.168,-3.152,-0.104
-0.857, 0.113,-0.528,-0.177,-2.779,-0.090
-0.878, 0.128,-0.487,-0.120,-2.369,-0.044
-0.959, 0.147,-0.398,-0.081,-2.099, 0.042
-0.959, 0.147,-0.398,-0.056,-2.110, 0.134
-1.007, 0.137,-0.291,-0.031,-2.295, 0.164
-0.985, 0.051,-0.212, 0.020,-2.563, 0.088
-0.967,-0.006,-0.218, 0.039,-2.863,-0.042
-0.967,-0.006,-0.218, 0.037,-3.134,-0.136
-0.958,-0.004,-0.208, 0.023,-3.280,-0.172
-0.974, 0.047,-0.206, 0.053,-3.353,-0.136
-0.982, 0.088,-0.217, 0.052,-3.254,-0.133
-0.986, 0.124,-0.204, 0.017,-3.136,-0.172
-1.016, 0.120,-0.116,-0.002,-3.074,-0.130
-1.044, 0.092,-0.053,-0.010,-2.984,-0.125
-1.061, 0.066,-0.038,-0.032,-2.861,-0.181
-1.047, 0.059,-0.033,-0.074,-2.641,-0.229
-1.047, 0.059,-0.033,-0.071,-2.397,-0.247
-1.002, 0.100, 0.006, 0.004,-2.207,-0.256
-0.985, 0.120, 0.030, 0.108,-2.064,-0.279
-0.985, 0.120, 0.030, 0.188,-1.983,-0.283
-0.974, 0.157, 0.045, 0.174,-2.013,-0.259
-0.986, 0.156, 0.055, 0.096,-2.114,-0.218
-0.986, 0.156, 0.055,-0.010,-2.332,-0.205
-0.998, 0.096, 0.091,-0.124,-2.588,-0.223
-0.998, 0.096, 0.091,-0.248,-2.731,-0.265
-0.979, 0.071, 0.095,-0.326,-2.747,-0.292
-0.938, 0.078, 0.147,-0.182,-2.365,-0.305
-0.938, 0.078, 0.147, 0.174,-1.701,-0.280
-0.962, 0.120, 0.211, 0.409,-1.233,-0.245
-0.985, 0.182, 0.344, 0.461,-1.264,-0.341
-0.902, 0.158, 0.425, 0.438,-1.832,-0.711
-0.553,-0.041, 0.463, 0.226,-2.473,-1.223
-0.553,-0.041, 0.463,-0.116,-2.754,-1.619
-0.791, 0.080, 0.209,-0.175,-2.940,-1.160
-1.410, 0.251, 0.370,-0.058,-2.305,-0.459
-1.235, 0.063, 0.039,-0.117,-1.417,-0.403
-1.084, 0.010, 0.226,-0.061,-1.322,-0.231
-1.084, 0.010, 0.226,-0.074,-1.248,-0.152
-0.984,-0.059, 0.433,-0.058,-1.324,-0.106
-0.956,-0.055, 0.528,-0.042,-1.383,-0.032
-0.956,-0.055, 0.528,-0.064,-1.252, 0.026
-0.963,-0.028, 0.505,-0.077,-0.948, 0.007
-0.885, 0.054, 0.490,-0.070,-0.563,-0.023
-0.885, 0.054, 0.490,-0.094,-0.238, 0.054
-0.907, 0.112, 0.486,-0.126,-0.087, 0.218
-0.927, 0.062, 0.488,-0.097,-0.091, 0.305
-0.916,-0.015, 0.501,-0.013,-0.238, 0.292
-0.936,-0.055, 0.529, 0.099,-0.532, 0.155
-0.936,-0.055, 0.529, 0.236,-0.853,-0.009
-0.924,-0.070, 0.556, 0.353,-1.076,-0.141
-0.862, 0.005, 0.502, 0.408,-1.127,-0.243
-0.817, 0.047, 0.503, 0.417,-1.222,-0.289
-0.817, 0.047, 0.503, 0.333,-1.355,-0.261
-0.824, 0.108, 0.574, 0.206,-1.253,-0.201
-0.799, 0.079, 0.559, 0.103,-1.132,-0.088
-0.799, 0.079, 0.559, 0.038,-0.899, 0.036
-0.775, 0.068, 0.575, 0.012,-0.756, 0.186
-0.778, 0.066, 0.620, 0.012,-0.767, 0.317
-0.788, 0.077, 0.638, 0.025,-0.837, 0.420
-0.788, 0.077, 0.638, 0.083,-0.879, 0.463
-0.789, 0.088, 0.611, 0.171,-0.904, 0.454
-0.836, 0.075, 0.582, 0.266,-0.967, 0.414
-0.836, 0.075, 0.582, 0.367,-1.014, 0.347
-0.831, 0.065, 0.602, 0.459,-1.046, 0.284
-0.827, 0.051, 0.600, 0.576,-1.159, 0.210
-0.838, 0.032, 0.590, 0.701,-1.343, 0.095
-0.854, 0.017, 0.642, 0.854,-1.539,-0.058
-0.854, 0.017, 0.642, 1.041,-1.689,-0.230
-0.856, 0.006, 0.641, 1.210,-1.834,-0.367
-0.819, 0.037, 0.651, 1.349,-1.928,-0.464
-0.819, 0.037, 0.651, 1.498,-1.999,-0.539
-0.777, 0.042, 0.652, 1.643,-1.997,-0.551
-0.732, 0.051, 0.658, 1.783,-2.048,-0.518
-0.721, 0.064, 0.674, 1.903,-2.017,-0.454
-0.669, 0.093, 0.725, 1.986,-1.947,-0.362
-0.669, 0.093, 0.725, 2.009,-1.839,-0.233
-0.612, 0.117, 0.756, 1.951,-1.718,-0.085
-0.612, 0.117, 0.756, 1.839,-1.626, 0.058
-0.584, 0.149, 0.785, 1.670,-1.529, 0.181
-0.561, 0.177, 0.817, 1.431,-1.346, 0.290
-0.550, 0.193, 0.828, 1.130,-1.170, 0.359
-0.550, 0.202, 0.851, 0.771,-0.994, 0.389
-0.547, 0.223, 0.847, 0.362,-0.836, 0.389
-0.538, 0.243, 0.843,-0.044,-0.707, 0.369
-0.531, 0.252, 0.838,-0.409,-0.635, 0.349
-0.531, 0.252, 0.838,-0.682,-0.646, 0.328
-0.543, 0.235, 0.878,-0.869,-0.642, 0.293
-0.540, 0.218, 0.851,-0.973,-0.609, 0.244
-0.540, 0.218, 0.851,-0.981,-0.594, 0.222
-0.528, 0.203, 0.828,-0.931,-0.659, 0.210
-0.512, 0.200, 0.846,-0.849,-0.752, 0.196
-0.508, 0.199, 0.841,-0.778,-0.845, 0.175
-0.508, 0.199, 0.841,-0.716,-0.908, 0.163
-0.511, 0.187, 0.831,-0.664,-0.960, 0.159
-0.519, 0.164, 0.847,-0.624,-1.001, 0.162
-0.519, 0.164, 0.847,-0.583,-0.998, 0.171
-0.504, 0.159, 0.859,-0.530,-0.953, 0.196
-0.484, 0.155, 0.866,-0.476,-0.923, 0.241
-0.451, 0.160, 0.909,-0.433,-0.876, 0.272
-0.432, 0.151, 0.916,-0.405,-0.826, 0.303
-0.432, 0.151, 0.916,-0.398,-0.726, 0.349
-0.420, 0.141, 0.916,-0.410,-0.668, 0.405
-0.414, 0.150, 0.931,-0.432,-0.671, 0.472
-0.414, 0.150, 0.931,-0.450,-0.653, 0.539
-0.412, 0.149, 0.932,-0.440,-0.606, 0.588
-0.391, 0.116, 0.917,-0.381,-0.564, 0.597
-0.391, 0.116, 0.917,-0.283,-0.542, 0.578
-0.375, 0.097, 0.922,-0.170,-0.516, 0.528
-0.354, 0.090, 0.898,-0.063,-0.504, 0.463
-0.354, 0.090, 0.898, 0.030,-0.496, 0.406
-0.335, 0.090, 0.888, 0.102,-0.471, 0.360
-0.338, 0.091, 0.899, 0.112,-0.516, 0.176
-0.448, 0.038, 0.999,-0.258,-0.796,-0.260
-0.448, 0.038, 0.999,-0.730,-0.887,-0.394
-0.471, 0.053, 1.033,-1.093,-0.777,-0.390
-0.397, 0.180, 0.977,-1.308,-0.660,-0.108
-0.198, 0.246, 0.999,-1.278,-0.491, 0.168
-0.235, 0.172, 0.972,-1.139,-0.318, 0.277
-0.302, 0.086, 0.962,-1.034,-0.283, 0.267
-0.302, 0.086, 0.962,-0.972,-0.278, 0.202
-0.352, 0.037, 0.941,-0.904,-0.278, 0.182
-0.352, 0.037, 0.941,-0.795,-0.315, 0.198
-0.289, 0.065, 0.958,-0.678,-0.397, 0.202
-0.288, 0.064, 0.982,-0.597,-0.478, 0.158
-0.288, 0.064, 0.982,-0.510,-0.625, 0.131
-0.260, 0.110, 0.993,-0.395,-0.740, 0.116
-0.277, 0.074, 0.966,-0.341,-0.760, 0.052
-0.309, 0.073, 0.882,-0.297,-0.712,-0.014
-0.309, 0.073, 0.882,-0.250,-0.624,-0.064
-0.305, 0.039, 0.885,-0.228,-0.564,-0.093
-0.279, 0.019, 0.910,-0.186,-0.609,-0.080
-0.239, 0.015, 1.001,-0.150,-0.639,-0.074
-0.239, 0.015, 1.001,-0.067,-0.794,-0.019
-0.229, 0.037, 1.017, 0.003,-0.762, 0.016
-0.218, 0.048, 0.986, 0.030,-0.642, 0.040
-0.223, 0.026, 0.900, 0.030,-0.608, 0.042
-0.238, 0.010, 0.960, 0.006,-0.598, 0.031
-0.238, 0.010, 0.960,-0.030,-0.536, 0.021
-0.217, 0.008, 0.967,-0.062,-0.477,-0.000
-0.217, 0.008, 0.967,-0.099,-0.461,-0.031
-0.205,-0.003, 0.999,-0.157,-0.457,-0.061
-0.212,-0.015, 1.023,-0.196,-0.444,-0.091
