acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
-0.649, 0.048, 0.542, 0.791, 2.034, 0.210
-0.723, 0.069, 0.508, 0.685, 1.966, 0.243
-0.825, 0.194, 0.499, 0.499, 1.940, 0.274
-0.704, 0.145, 0.570, 0.417, 2.057, 0.215
-0.747, 0.231, 0.562, 0.420, 2.312, 0.174
-0.851, 0.141, 0.591, 0.530, 2.605, 0.234
-0.863, 0.133, 0.528, 0.653, 2.739, 0.322
-0.986, 0.172, 0.451, 0.667, 2.600, 0.476
-0.914, 0.131, 0.480, 0.678, 2.616, 0.561
-0.847, 0.095, 0.448, 0.836, 2.879, 0.589
-0.926, 0.111, 0.236, 0.771, 3.011, 0.590
-0.973, 0.120, 0.113, 0.456, 2.837, 0.532
-0.952, 0.124, 0.148, 0.212, 2.540, 0.424
-0.932, 0.169, 0.199, 0.106, 2.191, 0.310
-0.855, 0.191, 0.221, 0.070, 2.074, 0.260
-0.891, 0.101, 0.275, 0.118, 2.097, 0.277
-0.914, 0.138, 0.278, 0.144, 2.021, 0.324
-0.954, 0.174, 0.245, 0.199, 1.809, 0.386
-0.974, 0.200, 0.221, 0.214, 1.597, 0.430
-0.932, 0.188, 0.233, 0.341, 1.415, 0.431
-0.911, 0.195, 0.236, 0.573, 1.348, 0.389
-0.931, 0.205, 0.187, 0.696, 1.291, 0.341
-0.926, 0.157, 0.204, 0.741, 1.151, 0.317
-0.885, 0.144, 0.172, 0.835, 0.960, 0.155
-0.877, 0.130, 0.161, 0.922, 0.703, 0.070
-0.916, 0.158, 0.133, 0.921, 0.307, 0.010
-0.938, 0.210, 0.182, 0.913,-0.021,-0.010
-0.909, 0.226, 0.249, 0.892, 0.053,-0.012
-0.823, 0.223, 0.226, 0.893, 0.569,-0.042
-0.890, 0.232, 0.177, 0.800, 0.993,-0.011
-1.001, 0.303, 0.078, 0.631, 1.196,-0.032
-0.964, 0.350, 0.090, 0.348, 1.387,-0.064
-0.884, 0.349, 0.150, 0.154, 1.647,-0.070
