date,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
2022-02-09 20:17:07.351880,-0.029190,0.121812,1.018574,0.586334,-0.025002,2.150925,-0.067055,0.207871,-0.277162
2022-02-09 20:17:07.452067,0.017685,-0.009536,1.009785,0.952545,-0.543800,-6.508438,-0.069290,0.207871,-0.283867
2022-02-09 20:17:07.552304,-0.081436,0.064683,1.008564,41.777435,21.634850,-4.265396,-0.065938,0.213459,-0.282750
2022-02-09 20:17:07.652508,-0.052383,0.118638,1.016377,19.430939,26.365074,-3.075211,-0.078231,0.230223,-0.288337
2022-02-09 20:17:07.752676,-0.204239,0.140123,0.946552,24.008575,73.903831,-19.074051,-0.071526,0.227988,-0.295043
2022-02-09 20:17:07.852861,-0.347793,0.100328,0.787617,10.863129,56.196007,-12.940018,-0.075996,0.243634,-0.317395
2022-02-09 20:17:07.953066,-0.454971,0.179673,0.892353,14.090363,74.216637,-11.856644,-0.082701,0.259280,-0.319630
2022-02-09 20:17:08.053230,-0.605117,0.178941,0.704121,8.055511,80.938133,-22.095291,-0.075996,0.270456,-0.350922
2022-02-09 20:17:08.153411,-0.810440,0.149400,0.726094,-12.070831,97.059044,-30.060379,-0.069290,0.265986,-0.371039
2022-02-09 20:17:08.253595,-0.824112,0.045396,0.568867,-15.931305,134.702477,-35.530655,-0.058115,0.272691,-0.411272
2022-02-09 20:17:08.353758,-0.910049,-0.000991,0.349873,-0.260529,120.145592,-22.270767,-0.052527,0.269338,-0.432506
2022-02-09 20:17:08.453948,-0.966934,-0.057143,0.015400,11.412445,102.941307,-14.237015,-0.049174,0.257045,-0.458211
2022-02-09 20:17:08.554114,-1.222305,0.048082,-0.041729,-5.906281,71.141991,-5.196182,-0.037998,0.245869,-0.476092
2022-02-09 20:17:08.654266,-0.941543,-0.034194,-0.048565,-7.531342,58.027061,1.136215,-0.031292,0.227988,-0.500679
2022-02-09 20:17:08.754389,-0.875625,-0.109145,-0.468242,-29.771027,132.505211,-0.832169,-0.045821,0.213459,-0.508502
2022-02-09 20:17:08.854506,-0.879043,-0.003432,-0.498272,37.146393,54.136070,8.902939,-0.031292,0.189990,-0.505149
2022-02-09 20:17:08.954608,-0.868545,-0.106215,-0.783184,-142.510590,173.772606,-42.206375,-0.049174,0.169873,-0.525266
2022-02-09 20:17:09.054721,-0.674453,0.040513,-0.806621,-83.726105,100.705894,8.185776,-0.077114,0.141934,-0.521913
2022-02-09 20:17:09.154834,-0.475723,0.145982,-1.037334,-16.450104,33.376488,5.004318,-0.078231,0.120699,-0.518560
2022-02-09 20:17:09.254962,-0.345596,0.286363,-0.751446,0.532928,-88.007179,25.687607,-0.086054,0.124052,-0.510737
2022-02-09 20:17:09.355067,-0.396621,0.105210,-0.767803,35.803619,48.887047,-3.540604,-0.074878,0.115111,-0.512972
2022-02-09 20:17:09.455223,-0.346084,0.123033,-0.926739,8.818451,59.064659,-13.168900,-0.067055,0.109524,-0.514090
2022-02-09 20:17:09.555360,-0.328506,0.085191,-1.027080,8.528534,29.905113,-6.081192,-0.074878,0.088289,-0.512972
2022-02-09 20:17:09.655510,-0.223770,0.093248,-0.864971,40.777985,74.079308,12.839706,-0.063702,0.101700,-0.510737
2022-02-09 20:17:09.755692,-0.173721,0.098375,-1.019512,6.933990,36.237511,4.516037,-0.067055,0.078231,-0.505149
2022-02-09 20:17:09.855842,0.105576,0.157457,-0.879619,25.893036,201.772484,-16.213028,-0.069290,0.055879,-0.491738
2022-02-09 20:17:09.955989,0.234970,0.033921,-0.982403,-7.035431,126.500877,3.241928,-0.074878,0.036880,-0.452623
